国家,中华人民共和国,
省/直辖市,北京市,
市,北京市,
县/区,昌平区,
开始时间,2025年04月10日 00时,
结束时间,2025年04月14日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,地面风速m/s
2025-04-10,00:00:00,2.1679649027456716
2025-04-10,01:00:00,2.338712076675708
2025-04-10,02:00:00,2.455668490934457
2025-04-10,03:00:00,2.4666575496840477
2025-04-10,04:00:00,2.3951967653367725
2025-04-10,05:00:00,2.341743276844078
2025-04-10,06:00:00,2.4456767326973217
2025-04-10,07:00:00,1.7089815360619631
2025-04-10,08:00:00,1.0979551544543766
2025-04-10,09:00:00,1.1767106445893245
2025-04-10,10:00:00,1.7546412278958874
2025-04-10,11:00:00,2.5859544938252266
2025-04-10,12:00:00,3.0442319570738645
2025-04-10,13:00:00,3.1445258301039782
2025-04-10,14:00:00,3.226792499032002
2025-04-10,15:00:00,3.4252771848657164
2025-04-10,16:00:00,3.283191195931764
2025-04-10,17:00:00,3.247331461961745
2025-04-10,18:00:00,2.8995497428470296
2025-04-10,19:00:00,2.631135221442869
2025-04-10,20:00:00,2.528874850236381
2025-04-10,21:00:00,2.082844719349961
2025-04-10,22:00:00,1.3857736253019821
2025-04-10,23:00:00,0.8493633471005814
2025-04-11,00:00:00,0.4495042271447924
2025-04-11,01:00:00,0.08782718345405192
2025-04-11,02:00:00,0.4530057085129566
2025-04-11,03:00:00,0.6469261835233385
2025-04-11,04:00:00,0.696871541490734
2025-04-11,05:00:00,1.0107411840729008
2025-04-11,06:00:00,1.0314184160018531
2025-04-11,07:00:00,0.8720139599367955
2025-04-11,08:00:00,0.9655326384159155
2025-04-11,09:00:00,0.9005182734599322
2025-04-11,10:00:00,1.6470739575077429
2025-04-11,11:00:00,2.447632167551767
2025-04-11,12:00:00,2.715524490903818
2025-04-11,13:00:00,3.0582602101119813
2025-04-11,14:00:00,3.6523884946996588
2025-04-11,15:00:00,3.6911331354415093
2025-04-11,16:00:00,2.3326859979165726
2025-04-11,17:00:00,1.3449571643798588
2025-04-11,18:00:00,2.3589166251499925
2025-04-11,19:00:00,2.53800724615397
2025-04-11,20:00:00,3.811227735191156
2025-04-11,21:00:00,8.216312256009093
2025-04-11,22:00:00,8.828729114710782
2025-04-11,23:00:00,8.280431171129377
2025-04-12,00:00:00,7.870504198949933
2025-04-12,01:00:00,7.190564452212924
2025-04-12,02:00:00,7.399373062856733
2025-04-12,03:00:00,7.518163539574178
2025-04-12,04:00:00,7.838382010618305
2025-04-12,05:00:00,6.496671356346658
2025-04-12,06:00:00,6.525459823015089
2025-04-12,07:00:00,8.654409667226057
2025-04-12,08:00:00,9.885366227634915
2025-04-12,09:00:00,10.384833387270024
2025-04-12,10:00:00,10.364196112796309
2025-04-12,11:00:00,10.609338599505117
2025-04-12,12:00:00,11.149351870785216
2025-04-12,13:00:00,10.672719578409302
2025-04-12,14:00:00,10.334766956145783
2025-04-12,15:00:00,9.864782503107962
2025-04-12,16:00:00,9.215306463558493
2025-04-12,17:00:00,7.211396472756953
2025-04-12,18:00:00,6.57727186934102
2025-04-12,19:00:00,6.444114035432458
2025-04-12,20:00:00,6.142638768643519
2025-04-12,21:00:00,5.842640247446689
2025-04-12,22:00:00,5.623332286039492
2025-04-12,23:00:00,5.40671990054533
2025-04-13,00:00:00,5.351913592550966
2025-04-13,01:00:00,5.247547893942887
2025-04-13,02:00:00,5.23807470470683
2025-04-13,03:00:00,5.3356599702784475
2025-04-13,04:00:00,5.561220677907071
2025-04-13,05:00:00,3.9450137103145044
2025-04-13,06:00:00,5.417764726681312
2025-04-13,07:00:00,6.510488867045314
2025-04-13,08:00:00,7.952357748384293
2025-04-13,09:00:00,8.237874327322409
2025-04-13,10:00:00,8.607295462175879
2025-04-13,11:00:00,8.873703146904106
2025-04-13,12:00:00,8.769197086454664
2025-04-13,13:00:00,9.14731312388813
2025-04-13,14:00:00,8.67774207136309
2025-04-13,15:00:00,8.12413784452272
2025-04-13,16:00:00,7.774633218946883
2025-04-13,17:00:00,6.495586063090324
2025-04-13,18:00:00,7.040172883847217
2025-04-13,19:00:00,7.042755851462134
2025-04-13,20:00:00,6.910932928240674
2025-04-13,21:00:00,7.062187054657291
2025-04-13,22:00:00,7.267982842234131
2025-04-13,23:00:00,7.310792238928395
2025-04-14,00:00:00,7.140072101920509
2025-04-14,01:00:00,7.099908319483412
2025-04-14,02:00:00,7.05516157309842
2025-04-14,03:00:00,7.026774353819262
2025-04-14,04:00:00,6.934973687997019
2025-04-14,05:00:00,6.751794253861366
2025-04-14,06:00:00,7.160704995958817
2025-04-14,07:00:00,7.137315187642384
2025-04-14,08:00:00,7.735731782664959
2025-04-14,09:00:00,7.444386673303635
2025-04-14,10:00:00,7.23286712519024
2025-04-14,11:00:00,6.943448477251912
2025-04-14,12:00:00,6.471050948954594
2025-04-14,13:00:00,5.936571145654152
2025-04-14,14:00:00,5.43642845783906
2025-04-14,15:00:00,4.867003151482658
2025-04-14,16:00:00,3.625862626036419
2025-04-14,17:00:00,1.9182307226485233
2025-04-14,18:00:00,2.149273731726508
2025-04-14,19:00:00,1.8590614900455324
2025-04-14,20:00:00,2.214345458708002
2025-04-14,21:00:00,2.806966478278257
2025-04-14,22:00:00,3.094709990645335
2025-04-14,23:00:00,3.2747599280719855
